"regulation_id","regulation_short_code","document_type","document_number","title_en","title_si","title_ta","summary_en","summary_si","summary_ta","principal_act_amended","cabinet_approval_date","bill_published_date","gazette_published_date","effective_date","domain_code","change_category","severity_level","is_sme_relevant","penalty_range_lkr","real_world_example_en","real_world_example_si","real_world_example_ta","source_url","expert_verified","expert_verified_by","expert_verified_at","sme_relevance_confidence","is_active","status","raw_pdf_path","gazette_number","raw_text","extraction_method","extracted_at","cleaned_text","amendment_type","created_at","updated_at"
"23c5f893-04ae-46ca-9020-1c7c91343120","2471_42","extraordinary_gazette","2471/42","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2471/42)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-01-14","2026-01-14","2026-01-14","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2471_42.pdf","2471/42","","pdfplumber","2026-05-18T08:04:09Z","","","2026-05-18T08:04:09Z","2026-05-18T08:04:09Z"
"26d547a3-12f4-4be4-9ae7-9c6d0e00f0cf","2474_02","extraordinary_gazette","2474/02","National Environmental Act, No. 47 of 1980 — Environmental Protection Area / regulation (Gazette 2474/02)","1980 අංක 47 දරන ජාතික පාරිසරික පනත - පාරිසරික ආරක්ෂිත ප්‍රදේශය ප්‍රකාශයට පත් කිරීම","1980 ஆம் ஆண்டின் 47 ஆம் இலக்க தேசிய சுற்றாடல் சட்டம் - சுற்றாடல் பாதுகாப்புப் பகுதி அறிவித்தல்","Order under the National Environmental Act, No. 47 of 1980, declaring an Environmental Protection Area or issuing regulations governing land use, EIA requirements, and prohibited activities within the gazetted boundary.","","","National Environmental Act, No. 47 of 1980","","2026-02-02","2026-02-02","2026-02-02","environment","new_obligation","4","True","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2474_02.pdf","2474/02","","pdfplumber","2026-05-18T08:04:09Z","","","2026-05-18T08:04:09Z","2026-05-18T08:04:09Z"
"a010be5a-c7e4-455a-90a6-05fbe224efe7","2469_21","extraordinary_gazette","2469/21","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2469/21)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-01-01","2026-01-01","2026-01-01","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2469_21.pdf","2469/21","","pdfplumber","2026-05-18T08:04:09Z","","","2026-05-18T08:04:09Z","2026-05-18T08:04:09Z"
"7e6e1a4e-fc14-407a-9986-61e0d1437044","2469_31","extraordinary_gazette","2469/31","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2469/31)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-01-02","2026-01-02","2026-01-02","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2469_31.pdf","2469/31","","pdfplumber","2026-05-18T08:04:09Z","","","2026-05-18T08:04:09Z","2026-05-18T08:04:09Z"
"4e02b3aa-16dc-4e75-adfd-9b0ad943a74f","2469_35","extraordinary_gazette","2469/35","Land Acquisition Act (Chapter 460), Section 5 — Notice of Intended Acquisition (Gazette 2469/35)","ඉඩම් අත්කර ගැනීමේ පනත (460 වන අධිකාරිය) - අත්කර ගැනීමේ දැන්වීම","காணி கையகப்படுத்தல் சட்டம் (அதிகாரம் 460) - கையகப்படுத்தல் அறிவித்தல்","Notice under Section 5 of the Land Acquisition Act (Chapter 460) declaring intended acquisition of identified land parcels for a public purpose (e.g. highway, irrigation, public infrastructure). Part III — Lands.","","","Land Acquisition Act (Chapter 460)","","2026-01-02","2026-01-02","2026-01-02","lands","procedural_change","3","True","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2469_35.pdf","2469/35","","pdfplumber","2026-05-18T08:04:09Z","","","2026-05-18T08:04:09Z","2026-05-18T08:04:09Z"
"d3bdd2b6-0f7c-4442-8bcc-6ff2f5cca4ef","2469_40","extraordinary_gazette","2469/40","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2469/40)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-01-04","2026-01-04","2026-01-04","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2469_40.pdf","2469/40","","pdfplumber","2026-05-18T08:04:09Z","","","2026-05-18T08:04:09Z","2026-05-18T08:04:09Z"
"c512e4c6-559d-43d7-979f-56659ce9ab37","2470_12","extraordinary_gazette","2470/12","Veterinary Surgeons and Practitioners Act, No. 46 of 1956 — Notice (Gazette 2470/12)","1956 අංක 46 දරන පශු වෛද්‍ය සහ පශු වෛද්‍ය වෘත්තික පනත","1956 ஆம் ஆண்டின் 46 ஆம் இலக்க பசு வைத்தியர் சட்டம்","Notice under the Veterinary Surgeons and Practitioners Act, No. 46 of 1956, typically covering registration of veterinary surgeons, recognised qualifications, or council rules.","","","Veterinary Surgeons and Practitioners Act, No. 46 of 1956","","2026-01-05","2026-01-05","2026-01-05","welfare","registration_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2470_12.pdf","2470/12","","pdfplumber","2026-05-18T08:04:09Z","","","2026-05-18T08:04:09Z","2026-05-18T08:04:09Z"
"e620ae15-a900-4402-8653-6ca9088bb92b","2470_51","extraordinary_gazette","2470/51","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2470/51)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-01-08","2026-01-08","2026-01-08","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2470_51.pdf","2470/51","","pdfplumber","2026-05-18T08:04:09Z","","","2026-05-18T08:04:09Z","2026-05-18T08:04:09Z"
"247e61a6-50d9-4de6-a6aa-f9b9ed51536d","2471_24","extraordinary_gazette","2471/24","Elections notice (Gazette 2471/24)","මැතිවරණ කොමිෂන් සභා දැන්වීම","தேர்தல்கள் ஆணைக்குழு அறிவித்தல்","Notice published by the Election Commission of Sri Lanka under elections legislation (Parliamentary Elections Act, Provincial Councils Elections Act or related).","","","Parliamentary Elections Act, No. 1 of 1981","","2026-01-13","2026-01-13","2026-01-13","elections","procedural_change","1","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2471_24.pdf","2471/24","","pdfplumber","2026-05-18T08:04:09Z","","","2026-05-18T08:04:09Z","2026-05-18T08:04:09Z"
"b724cce5-9f4d-42fa-82e0-ec9bc3d2cadc","2471_40","extraordinary_gazette","2471/40","Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2471/40)","1998 අංක 21 දරන හිමිකම් ලියාපදිංචි කිරීමේ පනත - හිමිකම් සැකසුම් කොමසාරිස්ගේ තීරණය","1998 ஆம் ஆண்டின் 21 ஆம் இலக்க உரித்துப் பதிவுச் சட்டம் - உரித்து நிர்ணய ஆணையாளரின் தீர்மானம்","Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.","","","Title Registration Act, No. 21 of 1998","","2026-01-14","2026-01-14","2026-01-14","lands","procedural_change","2","False","","","","","https://www.documents.gov.lk","False","","","","True","extracted","m1/raw/2471_40.pdf","2471/40","","pdfplumber","2026-05-18T08:04:09Z","","","2026-05-18T08:04:09Z","2026-05-18T08:04:09Z"
