regulation_id,regulation_short_code,document_type,document_number,title_en,title_si,title_ta,summary_en,summary_si,summary_ta,principal_act_amended,cabinet_approval_date,bill_published_date,gazette_published_date,effective_date,domain_code,change_category,severity_level,is_sme_relevant,penalty_range_lkr,real_world_example_en,real_world_example_si,real_world_example_ta,source_url,expert_verified,expert_verified_by,expert_verified_at,sme_relevance_confidence,is_active,status,raw_pdf_path,gazette_number,raw_text,extraction_method,extracted_at,cleaned_text,amendment_type,created_at,updated_at,__quarter
0e43703e-7111-4b37-af67-ead3944aed42,2484_25,extraordinary_gazette,2484/25,"Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2484/25)",,,"Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.",,,"Title Registration Act, No. 21 of 1998",,2026-04-17,2026-04-17,2026-04-17,lands,procedural_change,2,False,,,,,https://www.documents.gov.lk,False,,,,True,extracted,m1/raw/2484_25.pdf,2484/25,[see raw_pdf_path],pdfplumber,2026-05-18T15:33:29Z,,,2026-05-18T15:33:29Z,2026-05-18T15:33:29Z,2026-Q2
548a6a3d-ea28-4527-85bd-6cf88e850fa9,2483_78,extraordinary_gazette,2483/78,Customs Ordinance (Chapter 235) — Customs notification (Gazette 2483/78),,,"Notification published under the Customs Ordinance (Chapter 235), Section 10, covering import/export duties, prohibitions, or related customs matters.",,,Customs Ordinance (Chapter 235),,2026-04-10,2026-04-10,2026-04-10,customs,rate_change,4,True,,,,,https://www.documents.gov.lk,False,,,,True,extracted,m1/raw/2483_78.pdf,2483/78,[see raw_pdf_path],pdfplumber,2026-05-18T16:08:23Z,,,2026-05-18T16:08:23Z,2026-05-18T16:08:23Z,2026-Q2
a40822cb-df1b-4564-b369-818f3c8899ae,2483_22,extraordinary_gazette,2483/22,Customs Ordinance (Chapter 235) — Customs notification (Gazette 2483/22),,,"Notification published under the Customs Ordinance (Chapter 235), Section 10, covering import/export duties, prohibitions, or related customs matters.",,,Customs Ordinance (Chapter 235),,2026-04-10,2026-04-10,2026-04-10,customs,rate_change,4,True,,,,,https://www.documents.gov.lk,False,,,,True,extracted,m1/raw/2483_22.pdf,2483/22,[see raw_pdf_path],pdfplumber,2026-05-18T16:13:01Z,,,2026-05-18T16:13:01Z,2026-05-18T16:13:01Z,2026-Q2
f6d0900a-e658-4a0a-a8a8-d49767605461,2470_27,extraordinary_gazette,2470/27,Notaries Ordinance (Chapter 107) — Appointment of Notaries (Gazette 2470/27),නෝතාරිස්වරයන් පත් කිරීමේ ආඥා පනත (107 වන අධිකාරිය) - නෝතාරිස්වරයන් පත් කිරීම,நோட்டாரிசுக்கான கட்டளைச் சட்டம் (அதிகாரம் 107) - நோட்டாரிசுகளை நியமித்தல்,"Notice published under Section 3 of the Notaries Ordinance (Chapter 107) announcing appointments of Notaries Public for specified districts, made by the Minister of Public Administration. Part I — General.",,,Notaries Ordinance (Chapter 107),,2026-01-07,2026-01-07,2026-01-07,justice,registration_change,2,True,,,,,https://www.documents.gov.lk,False,,,,True,extracted,m1/raw/2470_27.pdf,2470/27,,pdfplumber,2026-05-18T08:27:41Z,,,2026-05-18T08:27:41Z,2026-05-18T08:27:41Z,2026-Q1
a8ff40ac-60d2-43a3-98e1-8faf007b5b49,2483_53,extraordinary_gazette,2483/53,Customs Ordinance (Chapter 235) — Customs notification (Gazette 2483/53),,,"Notification published under the Customs Ordinance (Chapter 235), Section 10, covering import/export duties, prohibitions, or related customs matters.",,,Customs Ordinance (Chapter 235),,2026-04-10,2026-04-10,2026-04-10,customs,rate_change,4,True,,,,,https://www.documents.gov.lk,False,,,,True,extracted,m1/raw/2483_53.pdf,2483/53,[see raw_pdf_path],pdfplumber,2026-05-18T16:13:01Z,,,2026-05-18T16:13:01Z,2026-05-18T16:13:01Z,2026-Q2
7a0a401e-7aa3-46e2-a80f-22f77352ae3f,2483_74,extraordinary_gazette,2483/74,Customs Ordinance (Chapter 235) — Customs notification (Gazette 2483/74),,,"Notification published under the Customs Ordinance (Chapter 235), Section 10, covering import/export duties, prohibitions, or related customs matters.",,,Customs Ordinance (Chapter 235),,2026-04-10,2026-04-10,2026-04-10,customs,rate_change,4,True,,,,,https://www.documents.gov.lk,False,,,,True,extracted,m1/raw/2483_74.pdf,2483/74,[see raw_pdf_path],pdfplumber,2026-05-18T16:08:23Z,,,2026-05-18T16:08:23Z,2026-05-18T16:08:23Z,2026-Q2
bd0d18e6-aab2-4926-980a-71a4fad7e0f4,2485_16,extraordinary_gazette,2485/16,"Title Registration Act, No. 21 of 1998, Section 14 — Commissioner of Title Settlement's decision under Section 14 (Gazette 2485/16)",,,"Commissioner of title settlement's decision under section 14 published under the Title Registration Act, No. 21 of 1998 for specified land parcels identified by Cadastral Map and Grama Niladhari Division. Part III — Lands. Issued from the Land Title Settlement Department, Battaramulla.",,,"Title Registration Act, No. 21 of 1998",,2026-04-21,2026-04-21,2026-04-21,lands,procedural_change,2,False,,,,,https://www.documents.gov.lk,False,,,,True,extracted,m1/raw/2485_16.pdf,2485/16,[see raw_pdf_path],pdfplumber,2026-05-18T16:13:01Z,,,2026-05-18T16:13:01Z,2026-05-18T16:13:01Z,2026-Q2
c1555a83-2bb6-4507-aa5b-e008f45048d3,2483_69,extraordinary_gazette,2483/69,Customs Ordinance — Customs notice (Gazette 2483/69),,,"Customs notice issued under the Customs Ordinance, affecting duties, exemptions or trade controls.",,,Customs Ordinance,,2026-04-10,2026-04-10,2026-04-10,customs,rate_change,4,True,,,,,https://www.documents.gov.lk,False,,,,True,extracted,m1/raw/2483_69.pdf,2483/69,[see raw_pdf_path],pdfplumber,2026-05-18T16:08:22Z,,,2026-05-18T16:08:22Z,2026-05-18T16:08:22Z,2026-Q2
151811c2-962b-4770-966a-6cac2d682275,2483_82,extraordinary_gazette,2483/82,Customs Ordinance — Customs notice (Gazette 2483/82),,,"Customs notice issued under the Customs Ordinance, affecting duties, exemptions or trade controls.",,,Customs Ordinance,,2026-04-10,2026-04-10,2026-04-10,customs,rate_change,4,True,,,,,https://www.documents.gov.lk,False,,,,True,extracted,m1/raw/2483_82.pdf,2483/82,[see raw_pdf_path],pdfplumber,2026-05-18T16:08:22Z,,,2026-05-18T16:08:22Z,2026-05-18T16:08:22Z,2026-Q2
6824ed08-7aef-477c-99d2-47b7e07cba6d,2485_61,extraordinary_gazette,2485/61,"Land Acquisition Act (Chapter 460), Section 5 — Notice of Intended Acquisition (Gazette 2485/61)",,,"Notice under Section 5 of the Land Acquisition Act (Chapter 460) declaring intended acquisition of identified land parcels for a public purpose (e.g. highway, irrigation, public infrastructure). Part III — Lands.",,,Land Acquisition Act (Chapter 460),,2026-04-24,2026-04-24,2026-04-24,lands,procedural_change,3,True,,,,,https://www.documents.gov.lk,False,,,,True,extracted,m1/raw/2485_61.pdf,2485/61,[see raw_pdf_path],pdfplumber,2026-05-18T15:33:29Z,,,2026-05-18T15:33:29Z,2026-05-18T15:33:29Z,2026-Q2
